OBJECTID,STN_NAME,STN_NO,Latitude,Longitude
97,TAMPINES WEST MRT STATION,DT31,1.345515305,103.93843697135333
98,GEYLANG BAHRU MRT STATION,DT24,1.3215058380176048,103.8719006257064
99,BENDEMEER MRT STATION,DT23,1.313672232544496,103.8629779874744
100,BENCOOLEN MRT STATION,DT21,1.2988642704173592,103.85038425491643
101,HARBOURFRONT MRT STATION,NE1/CC29,1.265472639862096,103.82144306908805
104,KENT RIDGE MRT STATION,CC24,1.2934960617448048,103.78442746062646
106,PUNGGOL MRT STATION,NE17,1.4045467277879482,103.90207263840693
107,TANJONG PAGAR MRT STATION,EW15,1.276521247,103.84586422934721
108,ONE-NORTH MRT STATION,CC23,1.299759878591986,103.78745750783105
110,STADIUM MRT STATION,CC6,1.302840629633224,103.8753503351786
111,BUGIS MRT STATION,EW12/DT14,1.3004650763152503,103.85570641401658
112,SOMERSET MRT STATION,NS23,1.3002600550654384,103.83907516234385
113,ORCHARD MRT STATION,NS22/TE14,1.3039810124368771,103.83224145206746
114,JALAN BESAR MRT STATION,DT22,1.3054036422232524,103.85547701633922
115,BAYFRONT MRT STATION,DT16/CE1,1.2818737884915377,103.8590797651323
116,SENGKANG MRT STATION,NE16,1.3916946260989878,103.8954846941603
117,BUKIT BROWN MRT STATION,CC18,1.3337288823214424,103.83068955013653
118,MOUNTBATTEN MRT STATION,CC7,1.3062019048312365,103.8825280808098
119,KOVAN MRT STATION,NE13,1.3601791711791507,103.88506485633619
120,FORT CANNING MRT STATION,DT20,1.2924789279174818,103.84432826960945
121,FARRER ROAD MRT STATION,CC20,1.3175106118957656,103.80758610574625
123,DOWNTOWN MRT STATION,DT17,1.279446190378722,103.85284044403936
125,ESPLANADE MRT STATION,CC3,1.2933216076112377,103.8555041055266
126,NICOLL HIGHWAY MRT STATION,CC5,1.2997668352679779,103.86363701849602
127,CALDECOTT MRT STATION,CC17/TE9,1.3376745080443386,103.83952982076379
128,MARINA BAY MRT STATION,NS27/TE20/CE2,1.2764273547506024,103.85459777754325
130,LABRADOR PARK MRT STATION,CC27,1.2723327315964736,103.80293962041964
131,CHINATOWN MRT STATION,NE4/DT19,1.2843595782329786,103.84342677594374
134,TAN KAH KEE MRT STATION,DT8,1.3258832089224446,103.80732220761213
135,TIONG BAHRU MRT STATION,EW17,1.286193393,103.82701943092377
136,HILLVIEW MRT STATION,DT3,1.3623448685278605,103.76741825445647
137,KING ALBERT PARK MRT STATION,DT6,1.3356651207597656,103.78380665887346
138,MATTAR MRT STATION,DT25,1.3268767147126137,103.88324750917995
139,UBI MRT STATION,DT27,1.3299568257038419,103.8992525249772
140,BEAUTY WORLD MRT STATION,DT5,1.341223176,103.77579428529484
141,KAKI BUKIT MRT STATION,DT28,1.334967301564287,103.90845973446443
143,BEDOK NORTH MRT STATION,DT29,1.3347421167583993,103.91797832977343
144,DHOBY GHAUT MRT STATION,NS24/NE6/CC1,1.2987013066295312,103.84611515467623
146,WOODLEIGH MRT STATION,NE11,1.339190045525152,103.87081830937498
147,NOVENA MRT STATION,NS20,1.3204407908478988,103.84382561881533
148,SERANGOON MRT STATION,NE12/CC13,1.3497078753792613,103.87357484685835
149,BEDOK RESERVOIR MRT STATION,DT30,1.336607829810492,103.93223462362464
150,MARINA SOUTH PIER MRT STATION,NS28,1.2713367113291696,103.86285976963737
151,FARRER PARK MRT STATION,NE8,1.3123598402121364,103.8541771415314
153,BARTLEY MRT STATION,CC12,1.342828337737579,103.87975890622788
154,DAKOTA MRT STATION,CC8,1.3083826392669968,103.88866260393172
155,PASIR PANJANG MRT STATION,CC26,1.2762135226853348,103.79135031315437
157,CLARKE QUAY MRT STATION,NE5,1.2883860242011411,103.84655520929513
158,BISHAN MRT STATION,NS17/CC15,1.3508389876938425,103.84814396447456
160,MARYMOUNT MRT STATION,CC16,1.3487072630182246,103.83942313256962
161,HAW PAR VILLA MRT STATION,CC25,1.282542156642901,103.78181045132038
162,LORONG CHUAN MRT STATION,CC14,1.351612171,103.86415193804721
163,LAVENDER MRT STATION,EW11,1.3073570200955626,103.86282920810665
166,TAI SENG MRT STATION,CC11,1.3354333222229142,103.88819486115298
167,ROCHOR MRT STATION,DT13,1.3039164839645871,103.85242168070454
169,LITTLE INDIA MRT STATION,NE7/DT12,1.3068000253123342,103.84964696657241
170,STEVENS MRT STATION,DT10/TE11,1.3200655570067297,103.82602440224379
171,BUKIT PANJANG MRT STATION,DT1,1.379002116717668,103.76153511473294
172,CASHEW MRT STATION,DT2,1.3693698310643436,103.76469442231075
173,SIXTH AVENUE MRT STATION,DT7,1.330786387363983,103.79724631666106
174,TOA PAYOH MRT STATION,NS19,1.3326289871232013,103.84750176434021
175,WOODLANDS SOUTH MRT STATION,TE3,1.4272599787112468,103.79385089243779
176,POTONG PASIR MRT STATION,NE10,1.3313795246192943,103.86905566527228
177,HOUGANG MRT STATION,NE14,1.3712922916785377,103.89238051891172
178,BOON KENG MRT STATION,NE9,1.3193957060230523,103.8616865018698
179,UPPER CHANGI MRT STATION,DT34,1.3417374838931966,103.96147178867841
180,CHANGI AIRPORT MRT STATION,CG2,1.3573145453309783,103.98836465850532
