Title,Address,Halal,Muslim Owned,Food Court,Mixed Food Court,Type of Food,Rating,Latitude,Longitude
Special Chinese Rojak @ Bedok Road,"324 Bedok Rd, Singapore 469493",No,Yes,No,Yes,"Chinese, Snacks",3.9/5.0 (8 reviews),1.330982058,103.9482152
Alpaz Nasi Arab @ Golden Mile Food Centre,"505 Beach Rd, Singapore 199583 #B1-20",No,Yes,No,Yes,"Yemen, Mediterranean",5.0/5.0 (35 reviews),1.303141753,103.8638776
Saporita @ East Coast Road,"125 E Coast Rd, Singapore 428810",No,Yes,No,Yes,Italian,4.7/5.0 (57 reviews),1.306055727,103.9047513
Saporita @ Makansutra Glutton Bay,"8 Raffles Ave., Singapore 039802 #01-15L",No,Yes,No,Yes,Italian,4.7/5.0 (1494 reviews),1.28935083,103.8559013
Aliff Nasi Lemak @ Serangoon Garden Way,"49a Serangoon Garden Way, Singapore 555945 #01-27",No,Yes,No,Yes,Malay,4.1/5.0 (104 reviews),1.362736808,103.8661622
Aliff Nasi Lemak @ Bedok North Street 3,"511 Bedok North Street 3, Singapore 460511 #01-19",No,Yes,No,Yes,Malay,4.1/5.0 (79 reviews),1.333219933,103.9305815
Azme Corner Nasi Lemak @ Bedok North Street 2,"122 Bedok North Street 2, Block 122, Singapore 460122",No,Yes,No,Yes,"Malay, Thai, Nasi Lemak",4.4/5.0 (181 reviews),1.3286172,103.9377872
The Nasi Padang By Butterscotch @ Sin Ming Road,"22 Sin Ming Rd, Singapore 570022 #01-210",No,Yes,No,Yes,"Indonesian, Malay",4.8/5.0 (28 reviews),1.357284441,103.8393967
Daliman's Corner @ Seah Im Food Centre,"2 Seah Im Rd, Singapore 099114 #01-32",No,Yes,No,Yes,"Malay, BBQ",3.9/5.0 (34 reviews),1.266568132,103.819248
FARASHA by INTAN @ Seah Im Food Centre,"2 Seah Im Rd, Singapore 099114 #01-31",No,Yes,No,Yes,"Malay, Indonesian",3.5/5.0 (39 reviews),1.266568132,103.819248
People's Nasi Padang @ UE Print Media Hub,61 Tai Seng Ave #B1-02,No,Yes,No,Yes,"Indonesian, Malay",4.3/5.0 (17 reviews),1.3387514,103.8877798
ABC Food Corner @ Havelock Road,"743 Havelock Rd, Singapore 169656",No,Yes,Yes,No,"Indian, Opens 24 Hours",3.8/5.0 (1024 reviews),1.289437219,103.8273586
Shami Banana Leafs Delights @ Causeway Point (Food Republic),"1 Woodlands Square, Singapore 738099 #04-01/04",Yes,No,No,Yes,"Indian, Beverages, Chicken, Lamb, Seafood, Vegetarian",3.4/5.0 (35 reviews),1.436007845,103.7856887
Sinar Malay Seafood (Jurong West),"456 Jurong West Street 41, Singapore 640456",No,Yes,No,Yes,"Malay, Seafood",5.0/5.0 (2 reviews),1.350675728,103.7200224
Sinar Malay Seafood @ Bukit Batok Street 31 (Kedai Kopi),"376 Bukit Batok Street 31, Singapore 650376",No,Yes,No,Yes,"Malay, Seafood",2.5/5.0 (6 reviews),1.358317052,103.7495799
Sabira Indian Muslim Food @ Choa Chu Kang Drive,"787B Choa Chu Kang Dr, Singapore 682787",No,Yes,No,Yes,Indian,4.0/5.0 (54 reviews),1.395361845,103.7481394
Sufyan Indian Muslim Food @ Redhill Lane,"85 Redhill Ln, Singapore 150085 #01-24",No,Yes,No,Yes,Indian,4.5/5.0 (11 reviews),1.2873076,103.8183112
SRP Indian Muslim Food @ Ghim Moh Link,"29a Ghim Moh Link, Singapore 271029 #01-03",No,Yes,No,Yes,Indian,2.2/5.0 (5 reviews),1.308492881,103.7845981
SRP Indian Muslim Food @ Buangkok Crescent,"982 Buangkok Cres, Singapore 530982 #02-01",No,Yes,No,Yes,Indian,3.0/5.0 (4 reviews),1.380850355,103.8793091
