Title,Address,Halal,Muslim Owned,Food Court,Mixed Food Court,Type of Food,Rating,Latitude,Longitude
Padang Lezat (S11) @ Jewel Changi Airport (Five Spice),"78 Aiport Boulevard, Singapore 819666 #B2-238/239/240",Yes,No,No,Yes,"Singaporean, Beverages, Vegetarian, Seafood, Western, Beef, Lamb, BBQ, Mediterranean, Indian, Malay, Korean, Asian, Japanese, Thai, Italian, Indonesian, Fusion",3.7/5.0 (13 reviews),1.360231067,103.9894572
Fitra Chicken Rice (MR2) @ Rivervale Mall (Food Junction),"11 Rivervale Crescent, Singapore 545082 #01-01/03",Yes,No,No,Yes,"Asian, Chicken, Singaporean",0/5.0 (0 reviews),1.39250411,103.9044837
Fitra Chicken Rice (S9) @ United Square (Food Dynasty),"101 Thomson Road, Singapore 307591 #B1-02",Yes,No,No,Yes,"Asian, Chicken, Singaporean",0/5.0 (0 reviews),1.317428008,103.8436708
Fitra Chicken Rice (S2) @ Northshore Plaza II (Cantine),"418, Northshore Drive, Singapore 820418 #02-07-09",Yes,No,No,Yes,"Asian, Chicken, Singaporean",0/5.0 (0 reviews),1.417961431,103.9013218
Fitra Chicken Rice (S18) @ Tampines Mall (Kopitiam),"4, Tampines Central 5, Singapore 529510 #04-27-29",Yes,No,No,Yes,"Asian, Chicken, Singaporean",0/5.0 (0 reviews),1.352504683,103.9446826
Fitra Chicken Rice (S16) @ Lot One (Food Junction),"21 Choa Chu Kang Avenue 4, Singapore 689812 #04-14/15/16",Yes,No,No,Yes,"Asian, Chicken, Singaporean",0/5.0 (0 reviews),1.38493874,103.7450225
Fitra Chicken Rice (MR3) @ Admiralty Place (Cantine),"678a, Woodlands Avenue 6, Singapore 731678 #02-05",Yes,No,No,Yes,"Asian, Chicken, Singaporean",5.0/5.0 (1 reviews),1.440363676,103.8015374
Fitra Chicken Rice (S15) @ 313 Somerset (Food Republic),"313 Orchard Rd, Singapore 238895 #05",Yes,No,No,Yes,"Asian, Chicken, Singaporean",3.6/5.0 (32 reviews),1.301014364,103.8383607
Fitra Chicken Rice (S10) @ Century Square (Food Market),"2 Tampines Central 5, Singapore 529509 #03-19",Yes,No,No,Yes,"Asian, Chicken, Singaporean",3.4/5.0 (115 reviews),1.352368296,103.9438123
Rasa Sindo Nasi Padang @ Pioneer Mall,"638a Jurong West Street 61, Singapore 641638 #01-22",Yes,No,No,Yes,Indonesian,0/5.0 (0 reviews),1.34195861,103.6975931
Rasa Sindo Nasi Padang @ Dawson,"85 Dawson Rd, Singapore 141085",Yes,No,No,Yes,Indonesian,2.4/5.0 (34 reviews),1.295319663,103.8097586
Buey Tahan See-food Restaurant @ Punggol Walk,"308c Punggol Walk, Singapore 823308 #01-308",Yes,No,No,Yes,"BBQ, Chinese, Singaporean, Seafood, Thai, Vegetarian, Malay, Fusion, Western, Asian",3.8/5.0 (218 reviews),1.408006949,103.8990744
AL-DIA Indian Muslim Restaurant @ Tampines Avenue 12,"622a Tampines Ave 12, Singapore 521622",No,Yes,No,Yes,Indian,3.0/5.0 (8 reviews),1.361061853,103.940017
Al-DIA Islamic Food @ 440 Bukit Batok West Ave 8,"Blk, 440 Bukit Batok West Ave. 8, Singapore",No,Yes,No,Yes,Indian,2.6/5.0 (20 reviews),1.3557231,103.7393032
AL-DIA Restaurant @ 177 Bukit Batok West Ave 8,"177 Bukit Batok West Ave. 8, Singapore 650177",No,Yes,No,Yes,Indian,5.0/5.0 (2 reviews),1.346344075,103.7417421
Al Madinah Restaurant @ Orchard Plaza,"150 Orchard Rd, Singapore 238841 #01-21",No,Yes,Yes,No,"Indian, Thai, Seafood, Chinese, Opens 24 Hours",3.7/5.0 (295 reviews),1.301257294,103.8411501
Warong Kim's Goreng Delights @ Our Tampines Hub,"51 Tampines Ave 4, Singapore 520940",Yes,No,No,Yes,"Seafood, Singaporean, Chicken, Beef, Vegetarian, , Asian",2.5/5.0 (21 reviews),1.3491699,103.9414213
Soulfood Nasi Lemak,"987 Serangoon Rd, Singapore 328147 #4",No,Yes,No,Yes,"Asian, Chicken, Indonesian, Malay, BBQ, Beef, Lamb",4.7/5.0 (144 reviews),1.322231385,103.8634355
Mr Teh Tarik Makan House @ Woodlands Street 31,"306A Woodlands Street 31, Singapore 731306",Yes,No,Yes,No,"Beverages, Chicken, Western, Italian, Indonesian, Thai, Indian, Malay, BBQ, Beef, Lamb, Duck, Fusion",3.7/5.0 (596 reviews),1.430112531,103.7750811
Mr Teh Tarik Eating House @ Geylang Serai,"1 Geylang Serai, Singapore 402001 #01-210",Yes,No,Yes,No,"Beverages, Chicken, Western, Italian, Indonesian, Thai, Indian, Malay, BBQ, Beef, Lamb, Duck, Fusion, Opens 24 Hours",3.9/5.0 (431 reviews),1.316678856,103.8981027
Mr Teh Tarik Eating House @ Yishun Ring Road,"846 Yishun Ring Rd, Singapore 760846 #01-3603",Yes,No,Yes,No,"Beverages, Chicken, Western, Italian, Indonesian, Thai, Indian, Malay, BBQ, Beef, Lamb, Duck, Fusion, Opens 24 Hours",3.9/5.0 (975 reviews),1.416786347,103.8346416
Mr Teh Tarik Eating House @ Jurong West Avenue 1,"456 Jurong West Ave 1, Singapore 640301",Yes,No,Yes,No,"Beverages, Chicken, Western, Italian, Indonesian, Thai, Indian, Malay, BBQ, Beef, Lamb, Duck, Fusion",4.1/5.0 (1405 reviews),1.350995,103.720743
Al-Jalal by Habib's Rojak,"421C Northshore Dr, Singapore 823421",No,Yes,No,Yes,"Indian, Opens 24 Hours",2.6/5.0 (28 reviews),1.419213261,103.9052999
Al Habib Indian Muslim Food @ Woodlands Industrial Park E7,"200 Woodlands Industrial Pk E7, Singapore 757177 #01-40",No,Yes,No,Yes,"Chicken, Vegetarian, Indian",3.9/5.0 (29 reviews),1.450749733,103.7968465
Al Habib Indian Muslim Food @ Punggol Central,"301 Punggol Central, Singapore 820301 #01-06",No,Yes,No,Yes,"Chicken, Vegetarian, Indian",3.1/5.0 (62 reviews),1.403719398,103.906138
Hawkerman @ Clementi Avenue 5 (Kedai Kopi),"380 Clementi Ave 5, Singapore 120380",Yes,No,Yes,No,"Asian, Singaporean, Fusion",4.2/5.0 (6 reviews),1.318344291,103.767572
Hawkerman @ Ang Mo Kio Avenue 4 (Kedai Kopi),"Kedai Kopi, 108 Ang Mo Kio Ave 4, Singapore 560108",Yes,No,Yes,No,"Asian, Singaporean, Fusion",2.7/5.0 (6 reviews),1.3709664,103.838202
Hawkerman @ Haig Road,"12 Haig Rd, Singapore 430012",Yes,No,Yes,No,"Asian, Singaporean, Fusion",4.0/5.0 (545 reviews),1.315608958,103.8960813
Ma Mum @ Ng Teng Fong General Hospital Tower B,"1 Jurong East Street 21, , Tower B Ng Teng Fong General Hospital, Singapore 609606 #02-02/03",Yes,No,Yes,No,"Singaporean, Asian",2.5/5.0 (36 reviews),1.333463114,103.7455669
Dignity Kitchen @ Boon Keng Road,"69 Boon Keng Rd, Singapore 339772",Yes,No,Yes,No,"Singaporean, Chicken, Vegetarian, Seafood",4.6/5.0 (452 reviews),1.317147224,103.8624973
House Of Cutlet @ Seah Im Food Centre,"2 Seah Im Rd, Singapore 099114 #01-39",No,Yes,No,Yes,"Western, Asian, Fusion, Malay",4.4/5.0 (25 reviews),1.266568132,103.819248
Aspirasi Food Galore @ Seah Im Food Centre,"2 Seah Im Rd, Singapore 099114 #01-45",No,Yes,No,Yes,"Malay, BBQ, Singaporean, Indonesian, Chicken, Asian, Chicken Rice",4.1/5.0 (117 reviews),1.266568132,103.819248
Warong Serembat @ Upper Boon Keng Food Market,"17 Upper Boon Keng Rd, Singapore 380017 #01-13",No,Yes,Yes,No,"Vegetarian, Malay, Chicken",3.7/5.0 (3 reviews),1.315028415,103.8716204
Al-Amin Food Paradise @ Holland Drive,"47 Holland Dr, Singapore 270047 #01-377",No,Yes,Yes,No,"Indian, Beverages, Chicken, Soup Tulang",3.7/5.0 (156 reviews),1.308532495,103.7923851
Uncle Penyet @ Bukit Batok East Ave 5,"233 Bukit Batok East Avenue 5, Singapore 650233",Yes,No,Yes,No,"Malay, Indonesian, Chicken, Vegetarian, Nasi Ayam Penyet",3.0/5.0 (14 reviews),1.348825265,103.7551276
Uncle Penyet @ Yishun Avenue 11,"417 Yishun Ave 11, Singapore 760417 #01-351",Yes,No,Yes,No,"Malay, Indonesian, Chicken, Vegetarian, Nasi Ayam Penyet",0/5.0 (0 reviews),1.424385067,103.8463291
Uncle Penyet @ Bishan Street 13,"511 Bishan Street 13, Singapore 570511",Yes,No,Yes,No,"Malay, Indonesian, Chicken, Vegetarian, Nasi Ayam Penyet",3.6/5.0 (11 reviews),1.349231394,103.8498966
Uncle Penyet Fusion @ Kampung Admiralty Hawker Centre,"676 Woodlands Drive 71, Singapore 730620",Yes,No,Yes,No,"Malay, Indonesian, Chicken, Vegetarian, Nasi Ayam Penyet",3.4/5.0 (26 reviews),1.439862176,103.8007268
Uncle Penyet @ Pasir Ris Central Hawker Centre,"110 Pasir Ris Central, Singapore 519641 #01-02",Yes,No,Yes,No,"Malay, Indonesian, Chicken, Vegetarian, Nasi Ayam Penyet",3.9/5.0 (109 reviews),1.373472521,103.9515713
Uncle Penyet @ Owen Road,"46 Owen Rd, Singapore 210046 #01-267",Yes,No,Yes,No,"Malay, Indonesian, Chicken, Vegetarian, Nasi Ayam Penyet",2.9/5.0 (24 reviews),1.315140198,103.8507984
Uncle Penyet @ Ang Mo Kio Avenue 3,"347 Ang Mo Kio Ave 3, Singapore 560347",Yes,No,Yes,No,"Malay, Indonesian, Chicken, Vegetarian, Nasi Ayam Penyet",3.6/5.0 (5 reviews),1.367338583,103.8485763
Uncle Penyet @ Serangoon Avenue  2,"304 Serangoon Ave 2, Singapore 550304 #01-14",Yes,No,Yes,No,"Malay, Indonesian, Chicken, Vegetarian, Nasi Ayam Penyet",3.3/5.0 (9 reviews),1.353813453,103.867773
Uncle Penyet @ Bukit Merah View,"116 Bukit Merah View, Singapore 151116 #01-253",Yes,No,Yes,No,"Malay, Indonesian, Chicken, Vegetarian, Nasi Ayam Penyet",3.1/5.0 (23 reviews),1.285134271,103.8215322
Uncle Penyet @ Jurong West Street 51,"504 Jurong West Street 51, Singapore 640504",Yes,No,Yes,No,"Malay, Indonesian, Chicken, Vegetarian, Nasi Ayam Penyet",2.7/5.0 (49 reviews),1.349827613,103.7188438
Uncle Penyet @ NUS Faculty of Science,"4 Lower Kent Ridge Rd, Science Drive 2, Singapore 117549",Yes,No,Yes,No,"Malay, Indonesian, Chicken, Vegetarian, Nasi Ayam Penyet",3.6/5.0 (36 reviews),1.2953873,103.78051
Bounce Teochew Fishball Noodles @ Tampines Mall (Kopitiam),"4 Tampines Central 5, Singapore 529510 #04-27/28/29",Yes,No,No,Yes,"Asian, Chinese",4.0/5.0 (8 reviews),1.352504683,103.9446826
Bounce Teochew Fishball Noodles @ Changi Airport Terminal 3 (Kopitiam),"65 Airport Boulevard, Singapore 819663 #B2-03",Yes,No,No,Yes,"Asian, Chinese",3.9/5.0 (34 reviews),1.356406287,103.9862118
Timbre Pizza @ One North,"73a Ayer Rajah Crescent, Singapore 139957 #01-32",Yes,No,No,Yes,"Duck, Western",3.7/5.0 (30 reviews),1.297411248,103.7875263
Timbre Pizza @ One Punggol Hawker Centre,"1 Punggol Dr., Singapore 828629 #02-05",Yes,No,No,Yes,"Duck, Western",3.7/5.0 (47 reviews),1.408298925,103.9051042
House of Pepper @ Kedai Kopi Ang Mo Kio,"108 Ang Mo Kio Ave 4, Singapore 560108",Yes,No,Yes,No,"BBQ, Asian, Beef, Japanese",2.6/5.0 (14 reviews),1.370966352,103.8382019
House of Pepper @ Kedai Kopi Yishun,"925 Yishun Central 1, Singapore 760925 #01-211",Yes,No,Yes,No,"BBQ, Asian, Beef, Japanese",3.3/5.0 (4 reviews),1.428230851,103.8374503
Briyani 47 @ New Tech Park,"151 Lor Chuan, Singapore 556741 #2-01B",Yes,No,No,Yes,"Indian, Chicken, Beef, Lamb",4.3/5.0 (18 reviews),1.352061961,103.8606983
Briyani 47 @ Hougang Mall,"90 Hougang Ave 10, Singapore 538766 #04-11",Yes,No,No,Yes,"Indian, Chicken, Beef, Lamb",3.8/5.0 (264 reviews),1.372533156,103.8938835
Mana Lagi @ Hougang Green Shopping Mall,"21 Hougang Street 51, Singapore 538719 #01-04",Yes,No,Yes,No,"Snacks, Singaporean, Western, Japanese, Seafood, Malay",4.0/5.0 (1 reviews),1.379317835,103.8878471
Mana Lagi @ Stirling Road,"169 Stirling Rd, Singapore 140169",Yes,No,Yes,No,"Snacks, Singaporean, Western, Japanese, Seafood, Malay",4.6/5.0 (15 reviews),1.290434865,103.8031059
Mana Lagi @ Tampines Street 43,"477 Tampines Street 43, Singapore 520477 #01-172",Yes,No,Yes,No,"Snacks, Singaporean, Western, Japanese, Seafood, Malay",3.5/5.0 (59 reviews),1.360921551,103.9528921
Abang Gemuk @ Bukit Batok Street 52,"506 Bukit Batok Street 52, Singapore 650506",Yes,No,No,Yes,"BBQ, Chicken, Beef, American, Western",0/5.0 (0 reviews),1.352248316,103.7546638
Abang Gemuk @ Lor 8 Toa Payoh,"233 Lor 8 Toa Payoh, Singapore 310233 #01-268",Yes,No,No,Yes,"BBQ, Chicken, Beef, American, Western",2.9/5.0 (37 reviews),1.338283659,103.858468
Abang Gemuk @ Bukit Batok West Ave 6,"134 Bukit Batok West Ave 6, Singapore 650134 #01-463",Yes,No,No,Yes,"BBQ, Chicken, Beef, American, Western",2.0/5.0 (45 reviews),1.35159087,103.7445096
Abang Gemuk @ Sengkang East Ave,"279 Sengkang E Ave, Singapore 540279 #01-01",Yes,No,No,Yes,"BBQ, Chicken, Beef, American, Western",3.2/5.0 (19 reviews),1.386218355,103.8929955
Abang Gemuk @ Ghim Moh Link,"25 Ghim Moh Link, Singapore 270025 #01-01",Yes,No,No,Yes,"BBQ, Chicken, Beef, American, Western",3.7/5.0 (18 reviews),1.308118863,103.7860494
Abang Gemuk @ Toh Guan Road East,"48 Toh Guan Rd E, Singapore 608586 #01-124/125/126/127/128/129",Yes,No,No,Yes,"BBQ, Chicken, Beef, American, Western",3.3/5.0 (12 reviews),1.336773733,103.7543622
Abang Gemuk @ Segar Road,"547 Segar Rd, Singapore 670547 #01-01",Yes,No,No,Yes,"BBQ, Chicken, Beef, American, Western",1.8/5.0 (23 reviews),1.388240217,103.7695754
Abang Gemuk @ Aljunied Ave 2,"119 Aljunied Ave 2, Singapore 380119 #01-54",Yes,No,No,Yes,"BBQ, Chicken, Beef, American, Western",3.3/5.0 (26 reviews),1.31920343,103.8863355
Fatty Bom Bom Sizzle x Nasi Kari @ Bukit Batok West Ave 4,"413 Bukit Batok West Ave 4, Singapore 650413 #01-220",Yes,No,No,Yes,"Western, American, Beverages, Dessert, Chicken, Seafood, Italian, Beef, Lamb, Meat",3.4/5.0 (21 reviews),1.363565727,103.746597
Fatty Bom Bom Sizzle @ Clementi Ave 5,"325 Clementi Ave 5, Singapore 120325 #01-129",Yes,No,No,Yes,"Western, American, Beverages, Dessert, Chicken, Seafood, Italian, Beef, Lamb, Meat",2.4/5.0 (39 reviews),1.315096685,103.7668174
Fatty Bom Bom Sizzle @ Teck Why Ave,"145 Teck Whye Ave, Singapore 680145 #01-153",Yes,No,No,Yes,"Western, American, Beverages, Dessert, Chicken, Seafood, Italian, Beef, Lamb, Meat",2.8/5.0 (30 reviews),1.381374615,103.7524688
Fatty Bom Bom Sizzle @ Margaret Drive,"40 Margaret Dr, Singapore 141040 #01-05",Yes,No,No,Yes,"Western, American, Beverages, Dessert, Chicken, Seafood, Italian, Beef, Lamb, Meat",3.2/5.0 (36 reviews),1.296458426,103.8062076
Abang Gemok @ Jurong West St 41,"Block 496 Jurong West Street 41, Singapore 640496 #01-84",Yes,No,No,Yes,"BBQ, Chicken, Beef, American, Western",2.6/5.0 (12 reviews),1.3499897,103.7238365
1 Hotplate Western @ Ang Mo Kio Ave 8,"505, Ang Mo Kio Avenue 8, 560505 #01-2688",Yes,No,No,Yes,Western,3.6/5.0 (5 reviews),1.3748598,103.850225
My Kampung @ Yishun Integrated Transport Hub,"920 Yishun Ave 2, Singapore 769100 #01-13",Yes,No,Yes,No,"Seafood, Malay, Asian, Chicken, Beverages, Chinese, Indian, Fusion",3.0/5.0 (6 reviews),1.42790289,103.8361777
My Kampung @ Kampung Admiralty Hawker Centre,"676 Woodlands Drive 71, Level 2, Singapore 730676",Yes,No,Yes,No,"Seafood, Malay, Asian, Chicken, Beverages, Chinese, Indian, Fusion",2.1/5.0 (20 reviews),1.4399161,103.8007013
My Kampung @ Changi City Point,"5 Changi Business Park Central 1, Singapore 486038  #02-01",Yes,No,Yes,No,"Seafood, Malay, Asian, Chicken, Beverages, Chinese, Indian, Fusion",2.5/5.0 (46 reviews),1.334083593,103.9629461
My Kampung @ Kallang Wave Mall,"1 Stadium Pl, Singapore 397628 #02-16",Yes,No,Yes,No,"Seafood, Malay, Asian, Chicken, Beverages, Chinese, Indian, Fusion",3.3/5.0 (130 reviews),1.303075152,103.8731497
Khaki Yong Tau Foo @ Greenridge Shopping Centre,"524A Jelapang Rd, Singapore 671524 #04",Yes,No,Yes,No,"Asian, Seafood, Chicken, Healthy",5.0/5.0 (2 reviews),1.385295563,103.7661705
Khaki Yong Tau Foo @ Clementi,"380 Clementi Ave 5, Singapore 120380",Yes,No,Yes,No,"Asian, Seafood, Chicken, Healthy",0/5.0 (0 reviews),1.318344291,103.767572
Khaki Yong Tau Foo @ Yishun,"925 Yishun Central 1, Singapore 760925",Yes,No,Yes,No,"Asian, Seafood, Chicken, Healthy",5.0/5.0 (1 reviews),1.428230851,103.8374503
An-Nur Shenton Way Special @ Chai Chee Ave,"36 Chai Chee Ave, Block 36, Singapore 461036",No,Yes,No,Yes,"Indian, Mee Combo",4.1/5.0 (30 reviews),1.3253411,103.9254354
D'Rubinah Eating Corner @ Khatib,"846 Yishun Ring Rd, Singapore 760846",Yes,No,Yes,No,"Singaporean, Indian, Thai, Malay",3.9/5.0 (150 reviews),1.416786347,103.8346416
An-Nur Shenton Way Special @ 198 Punggol Field,"198 Punggol Field, Singapore 820198 #01-01",No,Yes,No,Yes,"Indian, Mee Combo, Opens 24 Hours",3.5/5.0 (25 reviews),1.399509424,103.9063716
Dou @ 529 Ang Mo Kio Ave 10,"529 Ang Mo Kio Ave 10, Singapore 560529",Yes,No,No,Yes,"Seafood, Chinese, Chicken, Asian, Healthy, Vegetarian, Opens 24 Hours",4.1/5.0 (22 reviews),1.372343582,103.8554554
Dou @ 498 Jurong West,"498 Jurong West Street 41, 640498",Yes,No,No,Yes,"Seafood, Chinese, Chicken, Asian, Healthy, Vegetarian, Opens 24 Hours",4.0/5.0 (9 reviews),1.348333358,103.7243073
Nur Jannatun Naim Roti John @ Bedok Food Centre,"511 Bedok North Street, Singapore 460511",No,Yes,No,Yes,"Singaporean, Western",4.3/5.0 (23 reviews),1.333219933,103.9305815
Brostern @ Ci Yuan Hawker Centre,"51 Hougang Ave 9, Singapore 538776 #01-39 & #01-41",No,Yes,No,Yes,"Western, Beef, Italian, Chicken, Indian, Fusion",4.0/5.0 (144 reviews),1.375322538,103.8829319
The $2.50 Shop @ Kukoh Food Centre,"1 Jln Kukoh, Singapore 161001",No,Yes,No,Yes,"Singaporean, Malay",4.6/5.0 (23 reviews),1.288231015,103.8399342
Hjh Aishah Omar & Family Malay Rice & Yong Tau Foo,"14 Haig Rd, Singapore 430014 #01-10",No,Yes,Yes,No,"Singaporean, Malay",3.9/5.0 (9 reviews),1.31514205,103.8956095
Hjh Yang Chek Nasi Rawon & Mee Rebus @ Upper Boon Keng Food Centre,"17 Upper Boon Keng Rd, Singapore 380017 #01-26",No,Yes,No,Yes,"Malay, Indonesian, Singaporean",4.6/5.0 (33 reviews),1.315028415,103.8716204
Hjh Hadijah Muslim Food,"Blk 461 Yishun Ave 6, Singapore 760461 #01-16",No,Yes,No,Yes,"Singaporean, Malay, Nasi Padang",5.0/5.0 (6 reviews),1.4284134,103.8499737
Hjh Salbiah @ Changi Village Hawker Centre,"2 Changi Village Rd, #01-04 Village Hawker Centre, Singapore 500002",No,Yes,No,Yes,"Malay, Singaporean, Nasi Lemak",4.6/5.0 (12 reviews),1.3891517,103.9882453
ABC Express @ Admiralty Place,"678a Woodlands Ave 6,  Singapore 731678 #01-09",No,Yes,No,Yes,"Indian, Beef, Lamb, Chicken",2.5/5.0 (22 reviews),1.4403637,103.8015374
ABC Express @ Woodlands Rise,"785e Woodlands Rise, Singapore 735785",No,Yes,No,Yes,"Indian, Beef, Lamb, Chicken",1.4/5.0 (28 reviews),1.446792595,103.8054835
ABC Express @ Pasir Ris Drive 6,"443 Pasir Ris Drive 6, Singapore 510443 #01-16",No,Yes,No,Yes,"Indian, Beef, Lamb, Chicken, Opens 24 Hours",1.5/5.0 (24 reviews),1.369408606,103.9573958
ABC Express @ Compassvale Link,"Blk 275d Compassvale Link, Singapore 544275 #01-01",No,Yes,No,Yes,"Indian, Beef, Lamb, Chicken, Opens 24 Hours",2.4/5.0 (36 reviews),1.382905,103.8937135
Rumah Makan Wak Min @ Tampines Central CC,"866a Tampines Street 83, Singapore 521866 #02-02",No,Yes,Yes,No,"Singaporean, Malay",4.1/5.0 (15 reviews),1.355393063,103.9344293
Bedok Corner Hokkien Fried Squid & Prawn Mee,"1 Bedok Rd, #29 Bedok Corner Food, Singapore 469356",Yes,No,No,Yes,"Chinese, Singaporean, Seafood",4.1/5.0 (754 reviews),1.3203472,103.9554806
Bedok One Hokkien Prawn Mee,"21 Sengkang West Ave, Singapore 797650 #03-15",Yes,No,No,Yes,"Chinese, Singaporean, Seafood",4.0/5.0 (59 reviews),1.391725521,103.8770004
Kjjong-9 @ Tampines Mart,"Tampines Street 32, Singapore 529287",Yes,No,No,Yes,"Korean, Beef, Chicken",2.6/5.0 (5 reviews),1.353778942,103.9579943
Kjjong-9 @ Waterway Point,"81 Punggol Central, Singapore",Yes,No,No,Yes,"Korean, Beef, Chicken",2.7/5.0 (7 reviews),1.4070786,103.9016425
Riverside Indonesian BBQ @ JEM (Kopitiam),"50 Jurong Gateway Rd, Singapore 608549 #05-01",No,Yes,No,Yes,"BBQ, Malay, Singaporean, Indonesian, Chicken, Asian",3.0/5.0 (7 reviews),1.333328193,103.7433594
Riverside Indonesian BBQ @ ION Orchard (Food Opera),"68 Orchard Rd, Singapore 238839 #06-15/17",No,Yes,No,Yes,"BBQ, Malay, Singaporean, Indonesian, Chicken, Asian",4.3/5.0 (107 reviews),1.30083413,103.8450727
Riverside Indonesian BBQ @ 313 Somerset,"313 Orchard Rd, Singapore 238895 #B3-44",No,Yes,No,Yes,"BBQ, Malay, Singaporean, Indonesian, Chicken, Asian",3.3/5.0 (69 reviews),1.301014364,103.8383607
Riverside Indonesian BBQ @ Tampines Mall (Kopitiam),"4 Tampines Central 5, Singapore 529510 #04-27/28/29",No,Yes,No,Yes,"BBQ, Malay, Singaporean, Indonesian, Chicken, Asian",4.2/5.0 (73 reviews),1.352504683,103.9446826
Riverside Indonesian BBQ @ Jurong Point,"1 Jurong West Central 2, Singapore 648886 #03-42",No,Yes,No,Yes,"BBQ, Malay, Singaporean, Indonesian, Chicken, Asian",3.5/5.0 (14 reviews),1.339452004,103.706685
Riverside Indonesian BBQ @ Vivocity (Food Republic),"1 Harbourfront Walk, Singapore 098585  #03-01",No,Yes,No,Yes,"BBQ, Malay, Singaporean, Indonesian, Chicken, Asian",3.0/5.0 (19 reviews),1.264344587,103.8224761
105 Nasi Padang,"105 Canberra St, Singapore 752106",No,Yes,Yes,No,"Malay, Indonesian",3.0/5.0 (2 reviews),1.448855647,103.8324092
All Bout Chicken @ Alexander Village Food Centre,"120 Bukit Merah Lane 1,  Singapore 150120 #01-62",Yes,No,No,Yes,"BBQ, Western, Chicken",4.3/5.0 (24 reviews),1.286306,103.8044927
All Bout Chicken @ Chomp Chomp Food Centre,"20 Kensington Park Rd, Singapore 557269",Yes,No,No,Yes,"BBQ, Western, Chicken",4.2/5.0 (67 reviews),1.364232525,103.866527
Waker Chicken @ 215C Compassvale Drive,"215C Compassvale Dr, Singapore 543215",Yes,No,No,Yes,"Chicken, BBQ, American, Snacks, Fusion, Western",3.6/5.0 (102 reviews),1.389770263,103.8927872
Waker Chicken @ 848 Yishun Ring Road,"848 Yishun Ring Rd, Singapore 768688",Yes,No,No,Yes,"Chicken, BBQ, American, Snacks, Fusion, Western",2.9/5.0 (65 reviews),1.4162435,103.835249
Waker Chicken @ 727 Clementi West St 2,"727 Clementi West Street 2, Singapore 120727",Yes,No,No,Yes,"Chicken, BBQ, American, Snacks, Fusion, Western",3.9/5.0 (63 reviews),1.304289479,103.7640843
Waker Chicken @ 478 Tampines St 44,"478 Tampines Street 44, Singapore 520478",Yes,No,No,Yes,"Chicken, BBQ, American, Snacks, Fusion, Western",4.1/5.0 (53 reviews),1.361318946,103.9531259
Waker Chicken @ 347 Bukit Gombak,"347 Bukit Batok Street 34, Singapore 650347",Yes,No,No,Yes,"Chicken, BBQ, American, Snacks, Fusion, Western",3.7/5.0 (134 reviews),1.362270342,103.7511929
Waker Chicken @ Holland Drive,"Block 40 Holland Dr, Singapore 270040",Yes,No,No,Yes,"Chicken, BBQ, American, Snacks, Fusion, Western",3.6/5.0 (139 reviews),1.307176,103.7935004
BLACKGOAT @ Jalan Batu,"4a Jln Batu, Singapore 432004 #01-05",No,Yes,No,Yes,"BBQ, Lamb, Mediterranean, Fusion, Western, Beef, Chicken, Beverages",4.5/5.0 (241 reviews),1.302360348,103.8839095
The Original Botak Jones @ Bedok North,"Bedok Food City, 1550 Bedok North Ave 4, Singapore 489950",No,Yes,No,Yes,"BBQ, Western, Mediterranean, Lamb, Beef, Beverages, Chicken, French, American",4.1/5.0 (96 reviews),1.33763732,103.9445392
The Original Botak Jones @ 153 Kampong Ampat,"153 Kampong Ampat, Jun Jie Industrial Building, Singapore 368326 #07-05",No,Yes,No,Yes,"BBQ, Western, Mediterranean, Lamb, Beef, Beverages, Chicken, French, American",4.4/5.0 (230 reviews),1.3342328,103.8826858
The Original Botak Jones @ Depot Lane,"118 Depot Ln, Singapore 109754",No,Yes,No,Yes,"BBQ, Western, Mediterranean, Lamb, Beef, Beverages, Chicken, French, American",4.0/5.0 (366 reviews),1.2815746,103.8127545
Buey Tahan See-food Restaurant @ E!Hub,"1 Pasir Ris Cl, #04-101 E!hub, Singapore 519599 #04-101",Yes,No,No,Yes,"BBQ, Chinese, Singaporean, Seafood, Thai, Vegetarian, Malay, Fusion, Western, Asian",4.2/5.0 (193 reviews),1.3769142,103.9550368
Sari Bistari Changi Village Ayam Penyet,"3 Changi Village Rd, Singapore 500003",No,Yes,No,Yes,"BBQ, Singaporean, Malay, Chicken, Asian, Indonesian",3.9/5.0 (25 reviews),1.389658343,103.9880918
Aladdin Indian Muslim Cuisine,"Ntuc Foodfare, 273c Punggol Pl, Singapore 823273 #01-882",No,Yes,No,Yes,"Lamb, Indian, Chicken",3.6/5.0 (56 reviews),1.4023031,103.9012624
Uncle Penyet @ Sumang Walk,"322 Sumang Walk, #01-01, Singapore 820322 #01-01",Yes,No,Yes,No,"Malay, Indonesian, Chicken, Vegetarian, Nasi Ayam Penyet",2.8/5.0 (49 reviews),1.4112471,103.8975014
Yes Nasi Kukus @ Punggol,"273C Punggol Pl, Singapore 823273",Yes,No,No,Yes,"Malay, Chicken, Beef, Lamb, Vegetarian",4.3/5.0 (156 reviews),1.402303014,103.9012624
